drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
x,0,539.5,1.276,NA,NA,NA,NA,6945,0.5366,24790,1.406,NA,NA,11.45,0.6717
x,0,7808,0.6234,NA,NA,NA,NA,410000,0.6724,416900,0.816,NA,NA,688.7,0.7459
x,0,1324,0.591,NA,NA,NA,NA,3108,1.22,1717,1.703,NA,NA,62.95,1.395
x,0,5653,0.908,NA,NA,NA,NA,4695,1.995,4570,0.9984,NA,NA,875.2,1.033
x,0,2443000000,0.7963,NA,NA,NA,NA,1967,1.315,NA,NA,NA,NA,10.83,1.337
x,0,46130,0.9589,NA,NA,NA,NA,1200000,0.8586,3205000,1.206,NA,NA,66410,0.6981
x,0,5872,1.15,NA,NA,NA,NA,297200,0.632,85330,1.289,NA,NA,2792,0.7548
x,0,101,0.6766,NA,NA,NA,NA,193200,0.6012,18770,0.7746,NA,NA,6128,0.7347
x,0,35000,0.654,NA,NA,NA,NA,183400,1.293,377600,1.945,NA,NA,9445,0.6247
x,0,28510,0.5562,NA,NA,NA,NA,61.45,1.568,597.5,0.6536,NA,NA,1.558,0.8198
x,0,80.88,0.6696,NA,NA,NA,NA,52150,1.186,552300,0.7327,NA,NA,137.6,0.7678
x,0,3763,0.9658,NA,NA,NA,NA,212600,0.7753,249100,0.7652,NA,NA,50.67,1.446
x,0,32400,0.9648,NA,NA,NA,NA,55930,1.225,97070,1.579,NA,NA,13.19,1.002
x,0,494.8,0.5751,NA,NA,NA,NA,439100,0.5588,501500,1.285,NA,NA,28580,0.6455
x,0,3396000,0.6479,NA,NA,NA,NA,27900,0.62,730300,0.6559,NA,NA,17720,0.9048
x,0,20960,1.449,NA,NA,NA,NA,1883000,1.792,7907,1.506,NA,NA,30570,1.983
x,0,11.69,0.6139,NA,NA,NA,NA,29840,1.053,59450,1.704,NA,NA,159600,0.742
x,0,25.85,0.6055,NA,NA,NA,NA,14490,0.8401,427200,1.03,NA,NA,19950,0.5239
x,0,16490,0.8514,NA,NA,NA,NA,39340,1.02,20710,1.139,NA,NA,1327,1.145
x,0,53.76,0.5199,NA,NA,NA,NA,4677,0.5333,6850,0.8965,NA,NA,29.53,0.796
x,0,35500,0.5796,NA,NA,NA,NA,14120,1.345,10940,1.173,NA,NA,344.8,0.9524
x,0,191900,1.561,NA,NA,NA,NA,98370,1.328,6011,0.8082,NA,NA,5774,0.7875
x,0,1567,0.6237,NA,NA,NA,NA,1995000,1.92,279000000,1.645,NA,NA,186.5,0.7573
x,0,23090000,0.5223,NA,NA,NA,NA,743200000,0.5484,7865000,1.657,NA,NA,120800,1.532
x,0,4601,0.8621,NA,NA,NA,NA,257600,0.5431,3662000,1.088,NA,NA,3862,0.8758
x,0,745,0.6715,NA,NA,NA,NA,2104,1.929,26880,0.571,NA,NA,15.86,0.6493
x,0,5291,1.021,NA,NA,NA,NA,126800,0.9952,3289000,0.5732,NA,NA,253.2,0.8577
x,0,182.9,0.9401,NA,NA,NA,NA,43230,1.342,4296,1.215,NA,NA,525.2,1.342
